workerid,proliferate.condition,color,modal1,modal2,pair,percentage_blue,post_exposure,rating1,rating2,rating_other,reverse_sent_order,sentence1,sentence2,speaker,speaker_type,error
1492,cond2,blue,might,probably,might-probably,0,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1492,cond2,blue,might,probably,might-probably,90,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1492,cond2,orange,might,probably,might-probably,90,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1492,cond2,orange,might,probably,might-probably,100,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1492,cond2,orange,might,probably,might-probably,40,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1492,cond2,orange,might,probably,might-probably,50,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1492,cond2,blue,might,probably,might-probably,40,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1492,cond2,blue,might,probably,might-probably,75,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1492,cond2,orange,might,probably,might-probably,60,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1492,cond2,blue,might,probably,might-probably,25,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1492,cond2,orange,might,probably,might-probably,25,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1492,cond2,blue,might,probably,might-probably,10,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1492,cond2,orange,might,probably,might-probably,0,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1492,cond2,blue,might,probably,might-probably,100,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1492,cond2,orange,might,probably,might-probably,75,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1492,cond2,blue,might,probably,might-probably,60,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1492,cond2,blue,might,probably,might-probably,50,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1492,cond2,orange,might,probably,might-probably,10,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1499,cond2,blue,might,probably,might-probably,100,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,m,confident,
1499,cond2,orange,might,probably,might-probably,100,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,m,confident,
1499,cond2,orange,might,probably,might-probably,90,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1499,cond2,blue,might,probably,might-probably,0,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,m,confident,
1499,cond2,blue,might,probably,might-probably,90,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1499,cond2,blue,might,probably,might-probably,25,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1499,cond2,orange,might,probably,might-probably,40,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1499,cond2,blue,might,probably,might-probably,60,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1499,cond2,orange,might,probably,might-probably,60,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1499,cond2,orange,might,probably,might-probably,25,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1499,cond2,blue,might,probably,might-probably,75,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1499,cond2,orange,might,probably,might-probably,0,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,m,confident,
1499,cond2,blue,might,probably,might-probably,10,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1499,cond2,orange,might,probably,might-probably,50,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1499,cond2,blue,might,probably,might-probably,50,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1499,cond2,orange,might,probably,might-probably,75,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1499,cond2,orange,might,probably,might-probably,10,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1499,cond2,blue,might,probably,might-probably,40,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1499,cond2,blue,might,probably,might-probably,60,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1499,cond2,orange,might,probably,might-probably,0,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1499,cond2,orange,might,probably,might-probably,40,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1499,cond2,orange,might,probably,might-probably,50,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1499,cond2,orange,might,probably,might-probably,100,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1499,cond2,blue,might,probably,might-probably,75,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1499,cond2,orange,might,probably,might-probably,75,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1499,cond2,blue,might,probably,might-probably,10,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1499,cond2,blue,might,probably,might-probably,40,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1499,cond2,blue,might,probably,might-probably,100,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1499,cond2,orange,might,probably,might-probably,25,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1499,cond2,orange,might,probably,might-probably,60,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1499,cond2,blue,might,probably,might-probably,50,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1499,cond2,orange,might,probably,might-probably,90,1,0.88,0,0.11999999999999988,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1499,cond2,blue,might,probably,might-probably,25,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1499,cond2,orange,might,probably,might-probably,10,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1499,cond2,blue,might,probably,might-probably,0,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1499,cond2,blue,might,probably,might-probably,90,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1487,cond2,blue,might,probably,might-probably,25,1,0.89,0.10999999999999988,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1487,cond2,orange,might,probably,might-probably,60,1,0.51,0.49,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1487,cond2,orange,might,probably,might-probably,75,1,0.92,0.08000000000000007,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1487,cond2,orange,might,probably,might-probably,40,1,0.08999999999999986,0.91,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1487,cond2,orange,might,probably,might-probably,90,1,0.91,0.03,0.05999999999999983,0,You might get an orange one,You'll probably get an orange one,m,confident,
1487,cond2,orange,might,probably,might-probably,50,1,0.20999999999999996,0.79,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1487,cond2,orange,might,probably,might-probably,100,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,m,confident,
1487,cond2,blue,might,probably,might-probably,60,1,0.03999999999999993,0.96,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1487,cond2,blue,might,probably,might-probably,0,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,m,confident,
1487,cond2,orange,might,probably,might-probably,25,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1487,cond2,blue,might,probably,might-probably,75,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1487,cond2,blue,might,probably,might-probably,90,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1487,cond2,orange,might,probably,might-probably,0,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,m,confident,
1487,cond2,blue,might,probably,might-probably,100,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,m,confident,
1487,cond2,blue,might,probably,might-probably,40,1,0.89,0.10999999999999988,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1487,cond2,blue,might,probably,might-probably,50,1,0.93,0.07000000000000006,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1487,cond2,blue,might,probably,might-probably,10,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1487,cond2,orange,might,probably,might-probably,10,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1487,cond2,blue,might,probably,might-probably,75,1,0.93,0.06999999999999984,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1487,cond2,blue,might,probably,might-probably,25,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1487,cond2,blue,might,probably,might-probably,90,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1487,cond2,blue,might,probably,might-probably,40,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1487,cond2,blue,might,probably,might-probably,0,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1487,cond2,blue,might,probably,might-probably,10,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1487,cond2,blue,might,probably,might-probably,50,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1487,cond2,orange,might,probably,might-probably,100,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1487,cond2,orange,might,probably,might-probably,50,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1487,cond2,orange,might,probably,might-probably,75,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1487,cond2,blue,might,probably,might-probably,60,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1487,cond2,orange,might,probably,might-probably,25,1,0.83,0.17000000000000015,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1487,cond2,blue,might,probably,might-probably,100,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1487,cond2,orange,might,probably,might-probably,0,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1487,cond2,orange,might,probably,might-probably,40,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1487,cond2,orange,might,probably,might-probably,90,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1487,cond2,orange,might,probably,might-probably,10,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1487,cond2,orange,might,probably,might-probably,60,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1462,cond2,blue,might,probably,might-probably,75,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1462,cond2,blue,might,probably,might-probably,10,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,m,confident,
1462,cond2,orange,might,probably,might-probably,90,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,m,confident,
1462,cond2,blue,might,probably,might-probably,0,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,m,confident,
1462,cond2,blue,might,probably,might-probably,100,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1462,cond2,blue,might,probably,might-probably,40,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1462,cond2,orange,might,probably,might-probably,50,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,m,confident,
1462,cond2,blue,might,probably,might-probably,25,1,0.43,0,0.5700000000000001,0,You might get a blue one,You'll probably get a blue one,m,confident,
1462,cond2,blue,might,probably,might-probably,90,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1462,cond2,orange,might,probably,might-probably,75,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1462,cond2,orange,might,probably,might-probably,25,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1462,cond2,orange,might,probably,might-probably,10,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1462,cond2,orange,might,probably,might-probably,60,1,0.56,0,0.43999999999999995,0,You might get an orange one,You'll probably get an orange one,m,confident,
1462,cond2,blue,might,probably,might-probably,60,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1462,cond2,blue,might,probably,might-probably,50,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1462,cond2,orange,might,probably,might-probably,40,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1462,cond2,orange,might,probably,might-probably,0,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1462,cond2,orange,might,probably,might-probably,100,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,m,confident,
1462,cond2,orange,might,probably,might-probably,25,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1462,cond2,blue,might,probably,might-probably,0,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1462,cond2,blue,might,probably,might-probably,50,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1462,cond2,blue,might,probably,might-probably,10,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1462,cond2,blue,might,probably,might-probably,60,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1462,cond2,orange,might,probably,might-probably,90,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1462,cond2,blue,might,probably,might-probably,40,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1462,cond2,orange,might,probably,might-probably,75,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1462,cond2,blue,might,probably,might-probably,100,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1462,cond2,orange,might,probably,might-probably,60,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1462,cond2,orange,might,probably,might-probably,100,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1462,cond2,blue,might,probably,might-probably,75,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1462,cond2,orange,might,probably,might-probably,50,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1462,cond2,orange,might,probably,might-probably,40,1,0.20999999999999996,0.79,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1462,cond2,orange,might,probably,might-probably,10,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1462,cond2,orange,might,probably,might-probably,0,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1462,cond2,blue,might,probably,might-probably,90,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1462,cond2,blue,might,probably,might-probably,25,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1454,cond2,blue,might,probably,might-probably,100,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1454,cond2,orange,might,probably,might-probably,75,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1454,cond2,orange,might,probably,might-probably,50,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1454,cond2,orange,might,probably,might-probably,10,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1454,cond2,blue,might,probably,might-probably,90,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1454,cond2,orange,might,probably,might-probably,100,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,m,confident,
1454,cond2,blue,might,probably,might-probably,40,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1454,cond2,blue,might,probably,might-probably,60,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1454,cond2,orange,might,probably,might-probably,60,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1454,cond2,orange,might,probably,might-probably,25,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1454,cond2,blue,might,probably,might-probably,75,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1454,cond2,blue,might,probably,might-probably,10,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1454,cond2,blue,might,probably,might-probably,0,1,0,0,1,0,You might get a blue one,You'll probably get a blue one,m,confident,
1454,cond2,blue,might,probably,might-probably,25,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1454,cond2,blue,might,probably,might-probably,50,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,m,confident,
1454,cond2,orange,might,probably,might-probably,90,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1454,cond2,orange,might,probably,might-probably,40,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,m,confident,
1454,cond2,orange,might,probably,might-probably,0,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,m,confident,
1454,cond2,blue,might,probably,might-probably,100,1,0,0,0.99,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1454,cond2,blue,might,probably,might-probably,25,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1454,cond2,orange,might,probably,might-probably,75,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1454,cond2,blue,might,probably,might-probably,60,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1454,cond2,blue,might,probably,might-probably,40,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1454,cond2,orange,might,probably,might-probably,0,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1454,cond2,orange,might,probably,might-probably,90,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1454,cond2,blue,might,probably,might-probably,10,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1454,cond2,orange,might,probably,might-probably,60,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1454,cond2,blue,might,probably,might-probably,75,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1454,cond2,orange,might,probably,might-probably,100,1,0,0,1,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1454,cond2,orange,might,probably,might-probably,50,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1454,cond2,blue,might,probably,might-probably,50,1,1,0,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
1454,cond2,orange,might,probably,might-probably,10,1,0,1,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1454,cond2,orange,might,probably,might-probably,40,1,1,0,0,0,You might get an orange one,You'll probably get an orange one,f,cautious,
1454,cond2,blue,might,probably,might-probably,90,1,0,1,0,0,You might get a blue one,You'll probably get a blue one,f,cautious,
