"","workerid","ktt_score","attention_weight"
"1",1633,29,0.76275108098105
"2",1608,31,0.796111841790802
"3",1670,26,0.679673847645723
"4",1656,32,0.800634510340485
"5",1651,26,0.762397251331341
"6",1587,33,0.773467088651489
"7",1667,25,0.779620562161322
"8",1623,24,0.735445438595329
"9",1646,27,0.772670732244317
"10",1674,31,0.77214390115961
"11",1662,31,0.7954351334532
"12",1636,31,0.762045070068818
"13",1637,32,0.796372375190294
"14",1602,26,0.77748023258317
"15",1657,20,0.733327806469542
"16",1663,26,0.770555174977668
"17",1641,29,0.75963339899534
"18",1640,29,0.757338191432018
"19",1618,25,0.739306867428734
"20",1591,29,0.744471053473496
"21",1601,25,0.756534095182172
"22",1632,30,0.79158765909033
"23",1578,26,0.708746610712627
"24",1650,32,0.786859632373524
"25",1648,31,0.791656439720086
"26",1609,31,0.786327734364434
"27",1628,30,0.766102270380151
"28",1647,32,0.774478292676934
"29",1596,33,0.780013753155352
"30",1574,29,0.752560485736213
"31",1625,27,0.79118481645977
"32",1592,30,0.779848899292349
"33",1677,24,0.743388405052273
"34",1653,29,0.787997222271984
"35",1644,32,0.792089465553196
"36",1613,30,0.80536720285539
"37",1658,33,0.776201143800532
"38",1626,30,0.776428966543056
"39",1638,34,0.800722860426374
"40",1589,21,0.670398044026843
"41",1639,28,0.76924653975987
"42",1664,27,0.765487775502035
"43",1617,28,0.756618937859133
"44",1671,28,0.752289020352717
"45",1645,27,0.793242357467935
"46",1629,32,0.791396621853844
"47",1575,22,0.697952265344323
"48",1582,16,0.664172837121396
"49",1606,28,0.77991411000874
"50",1584,29,0.787474713742418
"51",1612,25,0.705715425237787
"52",1577,29,0.777180985576691
"53",1673,25,0.766164486217499
"54",1597,31,0.793035357865235
"55",1675,32,0.782697088763506
"56",1598,23,0.738903774784091
"57",1588,22,0.687891289592011
"58",1599,28,0.792072296779415
"59",1614,26,0.737696212656372
"60",1586,28,0.771969787109575
"61",1668,31,0.78896435039861
"62",1672,27,0.73232884932325
"63",1635,33,0.802774438006246
"64",1585,31,0.79822642830125
"65",1624,32,0.784280726179112
"66",1642,29,0.762729967149486
"67",1579,34,0.792324319403416
"68",1659,29,0.762992749003579
"69",1616,35,0.788909755093864
"70",1595,24,0.718321094150424
"71",1676,30,0.779224077737536
"72",1583,23,0.759923729038031
"73",1621,33,0.78244027005338
"74",1600,32,0.786383045351028
"75",1594,31,0.742766023589182
"76",1652,26,0.79036849188544
"77",1580,29,0.744453203103912
"78",1631,27,0.71678064992604
"79",1666,25,0.706727624887014
"80",1669,24,0.770437378560356
"81",1654,26,0.736684925277114
"82",1590,27,0.797619152345227
"83",1619,29,0.801332033074754
"84",1607,27,0.786733377692918
"85",1622,31,0.796522735410892
"86",1605,32,0.779452840346256
"87",1627,13,0.716299258331742
"88",1660,25,0.782058562038714
"89",1615,31,0.779056328132254
"90",1661,31,0.788413844244794
"91",1610,32,0.777041052831825
"92",1576,17,0.647213936227665
"93",1649,30,0.759421837562694
"94",1655,34,0.802990002213418
"95",1630,32,0.799111262316208
